Open,Close,Year,Month,Day
18358.699219,18343.900391,2022,11,17
18382.949219,18307.650391,2022,11,18
18246.400391,18159.949219,2022,11,21
18179.150391,18244.199219,2022,11,22
18325.199219,18267.25,2022,11,23
18326.099609,18484.099609,2022,11,24
18528.449219,18512.75,2022,11,25
18430.550781,18562.75,2022,11,28
18552.449219,18618.050781,2022,11,29
18625.699219,18758.349609,2022,11,30
18871.949219,18812.5,2022,12,01
18752.400391,18696.099609,2022,12,02
18719.550781,18701.050781,2022,12,05
18600.650391,18642.75,2022,12,06
18638.849609,18560.5,2022,12,07
18570.849609,18609.349609,2022,12,08
18662.400391,18496.599609,2022,12,09
18402.150391,18497.150391,2022,12,12
18524.400391,18608.0,2022,12,13
18671.25,18660.300781,2022,12,14
18614.400391,18414.900391,2022,12,15
18319.099609,18269.0,2022,12,16
18288.099609,18420.449219,2022,12,19
18340.300781,18385.300781,2022,12,20
18435.150391,18199.099609,2022,12,21
18288.800781,18127.349609,2022,12,22
17977.650391,17806.800781,2022,12,23
17830.400391,18014.599609,2022,12,26
18089.800781,18132.300781,2022,12,27
18084.75,18122.5,2022,12,28
18045.699219,18191.0,2022,12,29
18259.099609,18105.300781,2022,12,30
18131.699219,18197.449219,2023,01,02
18163.199219,18232.550781,2023,01,03
18230.650391,18042.949219,2023,01,04
18101.949219,17992.150391,2023,01,05
18008.050781,17859.449219,2023,01,06
17952.550781,18101.199219,2023,01,09
18121.300781,17914.150391,2023,01,10
17924.25,17895.699219,2023,01,11
17920.849609,17858.199219,2023,01,12
17867.5,17956.599609,2023,01,13
18033.150391,17894.849609,2023,01,16
17922.800781,18053.300781,2023,01,17
18074.300781,18165.349609,2023,01,18
18119.800781,18107.849609,2023,01,19
18115.599609,18027.650391,2023,01,20
18118.449219,18118.550781,2023,01,23
18183.949219,18118.300781,2023,01,24
18093.349609,17891.949219,2023,01,25
17877.199219,17604.349609,2023,01,27
17541.949219,17648.949219,2023,01,30
17731.449219,17662.150391,2023,01,31
17811.599609,17616.300781,2023,02,01
17517.099609,17610.400391,2023,02,02
17721.75,17854.050781,2023,02,03
17818.550781,17764.599609,2023,02,06
17790.099609,17721.5,2023,02,07
17750.300781,17871.699219,2023,02,08
17885.5,17893.449219,2023,02,09
17847.550781,17856.5,2023,02,10
17859.099609,17770.900391,2023,02,13
17840.349609,17929.849609,2023,02,14
17896.599609,18015.849609,2023,02,15
18094.75,18035.849609,2023,02,16
17974.849609,17944.199219,2023,02,17
17965.550781,17844.599609,2023,02,20
17905.800781,17826.699219,2023,02,21
17755.349609,17554.300781,2023,02,22
17574.650391,17511.25,2023,02,23
17591.349609,17465.800781,2023,02,24
17428.599609,17392.699219,2023,02,27
17383.25,17303.949219,2023,02,28
